Test_Datapoint_Num, Original_Data_Index, Predicted_Attack_Type                , Prediction_Confidence, Ground_Truth_Attack                  , Is_True_Attack
              1178,               16288, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1179,               16289, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1180,               16290, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1181,               16291, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1182,               16292, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1183,               16293, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1184,               16294, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1185,               16295, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1186,               16296, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1187,               16297, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1188,               16298, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1189,               16299, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1190,               16300, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1191,               16301, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1192,               16302, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1193,               16303, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1194,               16304, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1195,               16305, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1196,               16306, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1197,               16307, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1198,               16308, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1199,               16309, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1200,               16310, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1201,               16311, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1202,               16312, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1203,               16313, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1204,               16314, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1205,               16315, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1206,               16316, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1207,               16317, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1208,               16318, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1209,               16319, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1210,               16320, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1211,               16321, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1212,               16322, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1213,               16323, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1214,               16324, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1215,               16325, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1216,               16326, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1217,               16327, False Data Injection (High Value)    , 99.50%               , False Data Injection (High Value)    ,              1
              1218,               16328, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1219,               16329, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1220,               16330, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1221,               16331, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1222,               16332, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1223,               16333, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1224,               16334, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1225,               16335, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1226,               16336, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1227,               16337, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1228,               16338, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1229,               16339, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1230,               16340, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1231,               16341, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1232,               16342, False Data Injection (High Value)    , 98.00%               , False Data Injection (High Value)    ,              1
              1233,               16343, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1234,               16344, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1235,               16345, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1236,               16346, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1237,               16347, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1238,               16348, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1239,               16349, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1240,               16350, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1241,               16351, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1242,               16352, False Data Injection (High Value)    , 96.00%               , False Data Injection (High Value)    ,              1
              1243,               16353, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1244,               16354, False Data Injection (High Value)    , 97.50%               , False Data Injection (High Value)    ,              1
              1245,               16355, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1246,               16356, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1247,               16357, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1248,               16358, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1249,               16359, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1250,               16360, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1251,               16361, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1252,               16362, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1253,               16363, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1254,               16364, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1255,               16365, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1256,               16366, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1257,               16367, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1258,               16368, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1259,               16369, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1260,               16370, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1261,               16371, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1262,               16372, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1263,               16373, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1264,               16374, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1265,               16375, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1266,               16376, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1267,               16377, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1268,               16378, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1269,               16379, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1270,               16380, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1271,               16381, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1272,               16382, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1273,               16383, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1274,               16384, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1275,               16385, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1276,               16386, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1277,               16387, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1278,               16388, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1279,               16389, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1280,               16390, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1281,               16391, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1282,               16392, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1283,               16393, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1284,               16394, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1285,               16395, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1286,               16396, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1287,               16397, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1288,               16398, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1289,               16399, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1290,               16400, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1291,               16401, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1292,               16402, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1293,               16403, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1294,               16404, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1295,               16405, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1296,               16406, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1297,               16407, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1298,               16408, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1299,               16409, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1300,               16410, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1301,               16411, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1302,               16412, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1303,               16413, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1304,               16414, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1305,               16415, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1306,               16416, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1307,               16417, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1308,               16418, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1309,               16419, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1310,               16420, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1311,               16421, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1312,               16422, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1313,               16423, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1314,               16424, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1315,               16425, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1316,               16426, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1317,               16427, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1318,               16428, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1319,               16429, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1320,               16430, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1321,               16431, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1322,               16432, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1323,               16433, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1324,               16434, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1325,               16435, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1326,               16436, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1327,               16437, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1328,               16438, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1329,               16439, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1330,               16440, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1331,               16441, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1332,               16442, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1333,               16443, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1334,               16444, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1335,               16445, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1336,               16446, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1337,               16447, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1338,               16448, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1339,               16449, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1340,               16450, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1341,               16451, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1342,               16452, False Data Injection (High Value)    , 98.00%               , False Data Injection (High Value)    ,              1
              1343,               16453, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1344,               16454, False Data Injection (High Value)    , 98.00%               , False Data Injection (High Value)    ,              1
              1345,               16455, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1346,               16456, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1347,               16457, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1348,               16458, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1349,               16459, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1350,               16460, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1351,               16461, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1352,               16462, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1353,               16463, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1354,               16464, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1355,               16465, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1356,               16466, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1357,               16467, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1358,               16468, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1359,               16469, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1360,               16470, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1361,               16471, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1362,               16472, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1363,               16473, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1364,               16474, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1365,               16475, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1366,               16476, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
